Episode,Title,Time Period,Region,Notes
375,Hitler and the Mitford sisters,1900s,UK,WW2
64,Hitler part 1,1900s,Europe,WW2
65,Hitler part 2,1900s,Europe,WW2
83,The berlin wall,1900s,Europe,WW2
90,The Western Front,1900s,Europe,WW2
182,Operation Barbarossa,1900s,Europe,WW2
214,Stalingrad 1,1900s,Europe,WW2
215,Stalingrad 2,1900s,Europe,WW2
247,Monty & Patton vs Nazis,1900s,Europe,WW2
256,Germany - white rose,1900s,Europe,WW2
291,Man who escpaed auschwitz,1900s,Europe,WW2
292,Holocaust,1900s,Europe,WW2
295,Nazis 1,1900s,Europe,WW2
296,Nazis 2,1900s,Europe,WW2
297,Nazis 3,1900s,Europe,WW2
298,Nazis 4,1900s,Europe,WW2
399,WWI and Italy,1900s,Europe,WW2
404,Nazis in power: Night of the Long Knives,1900s,Europe,WW2
405,Nazis in power: The Nuremberg Rallies,1900s,Europe,WW2
406,Nazis in power: Hitler's Road to War,1900s,Europe,WW2
407,Nazis in power: Conquest of Austria,1900s,Europe,WW2
408,Nazis in power: Hitler's Dream,1900s,Europe,WW2
409,Nazis in power: Hitler's War on the Jews,1900s,Europe,WW2
410,Nazis in power: The Night of the Broken Glass,1900s,Europe,WW2
493,Lee Miller,1900s,Europe,WW2
528,Nazis road to war 1,1900s,Europe,WW2
529,Nazis road to war 2,1900s,Europe,WW2
530,Hitler's war on Poland 1,1900s,Europe,WW2
531,Hitler's war on Poland 2,1900s,Europe,WW2
532,Hitler's war on Poland 3,1900s,Europe,WW2
533,Wojtek the bear who beat the Nazis,1900s,Europe,WW2
235,China and WWII 1,1900s,East Asia,WW2
236,China and WWII 2,1900s,East Asia,WW2
43,1940,1900s,No fixed region,WW2
5,1981,1900s,UK,
11,Brexit,1900s,UK,
30,A Royal Row,1900s,UK,
65,A Very British Scandal,1900s,UK,
91,The Beatles,1900s,UK,
169,Falklands War 1,1900s,UK,
170,Falklands War 2,1900s,UK,
171,Falklands War 3,1900s,UK,
172,Falklands War 4,1900s,UK,
186,New Elizabethan Age,1900s,UK,
205,Last days of Boris,1900s,UK,
208,George Orwell,1900s,UK,
225,JRR Tolkien,1900s,UK,
231,QEII 1,1900s,UK,
232,QEII 2,1900s,UK,
246,Fall of Truss,1900s,UK,
300,The real downton abbey,1900s,UK,
373,Oswald Mosley 1,1900s,UK,
374,Oswald Mosley 2,1900s,UK,
401,Windrush,1900s,UK,
417,Britain in 1974: State of Emergency,1900s,UK,
418,Britain in 1974: The Crisis Election,1900s,UK,
419,Britain in 1974: Countdown to a coup,1900s,UK,
420,Britain in 1974: Thatcher enters the race,1900s,UK,
464,Modern British Elections,1900s,UK,
483,The Mysterious Case of the Ape Man,1900s,UK,
558,Rollings Stones 1,1900s,UK,
559,Rollings Stones 2,1900s,UK,
606,Enoch Powell,1900s,UK,
9,Causes of WWI,1900s,Europe,
102,Germany from Adenauer to Angela,1900s,Europe,
128,Rasputin,1900s,Europe,
159,Young Putin,1900s,Europe,
160,Fall of the USSR,1900s,Europe,
161,Yeltsin - Putin,1900s,Europe,
162,Putin's russia,1900s,Europe,
178,French Presidents 1,1900s,Europe,
179,French Presidents 2,1900s,Europe,
194,The First Fascist,1900s,Europe,
230,Portugal 4,1900s,Europe,
242,French history on film,1900s,Europe,
273,Portugal carnation revolution,1900s,Europe,
284,Denmark - the great escape,1900s,Europe,
322,East Germany,1900s,Europe,
338,Ireland 3,1900s,Europe,
339,Ireland 4,1900s,Europe,
341,Oscar Wilde 1,1900s,Europe,
342,Oscar Wilde 2,1900s,Europe,
353,Paris 1968 1,1900s,Europe,
354,Paris 1968 2,1900s,Europe,
372,Birth of fascism,1900s,Europe,
465,The Murder of Franz Ferdinand: The Killer,1900s,Europe,
466,The Murder of Franz Ferdinand: The Conspiracy,1900s,Europe,
467,The Murder of Franz Ferdinand: The VIctim,1900s,Europe,
468,The Murder of Franz Ferdinand: The Crime,1900s,Europe,
469,The Road to the Great War: Countdown to Armageddon,1900s,Europe,
470,The Road to the Great War: The Kaiser's blank cheque,1900s,Europe,
471,The Road to the Great War: The Austrian Ultimatum,1900s,Europe,
472,The Road to the Great War: Britain's fateful choice,1900s,Europe,
473,The Road to the Great War: The Tsar chooses war,1900s,Europe,
474,The Road to the Great War: the lights go out,1900s,Europe,
576,Irish War of Independence 1,1900s,Europe,
577,Irish War of Independence 2,1900s,Europe,
578,Irish War of Independence 3,1900s,Europe,
579,Irish War of Independence 4,1900s,Europe,
580,Irish Civil War 1,1900s,Europe,
581,Irish Civil War 2,1900s,Europe,
594,WWI - Invasion of Belgium,1900s,Europe,
595,WWI - Battle of the Frontiers,1900s,Europe,
596,WWI - Miracle on the Marne,1900s,Europe,
597,WWI - Massacre of the Innocents,1900s,Europe,
598,WWI - Eastern Front Explodes,1900s,Europe,
599,WWI - Downfall of the Hapsburgs,1900s,Europe,
72,The Vietnam War,1900s,East Asia,
173,Chairman Mao,1900s,East Asia,
324,Fall of Saigon 1,1900s,East Asia,
325,Fall of Saigon 2,1900s,East Asia,
366,Modern China,1900s,East Asia,
29,Americanisation,1900s,Americas,
93,Silicon Valley Part 1,1900s,Americas,
94,Silicon Valley Part 2,1900s,Americas,
95,9/11,1900s,Americas,
106,Watergate part 1,1900s,Americas,
107,Watergate part 2,1900s,Americas,
125,CIA,1900s,Americas,
153,God and the American empire,1900s,Americas,
237,Marilyn Monroe,1900s,Americas,
258,Costa Rica civil war,1900s,Americas,
261,Uruguay - tupamaros,1900s,Americas,
310,Reagan 1,1900s,Americas,
311,Reagan 2,1900s,Americas,
312,Reagan 3,1900s,Americas,
343,Oppenheimer 1,1900s,Americas,
344,Oppenheimer 2,1900s,Americas,
359,MLK's dream,1900s,Americas,
360,NYC in the 1970s,1900s,Americas,
370,Chilean coup 1,1900s,Americas,
371,Chilean coup 2,1900s,Americas,
392,JFK 1,1900s,Americas,
393,JFK 2,1900s,Americas,
394,JFK 3,1900s,Americas,
395,JFK 4,1900s,Americas,
396,JFK 5,1900s,Americas,
397,JFK 6,1900s,Americas,
398,JFK 7,1900s,Americas,
438,The Moonwalkers,1900s,Americas,
439,Disco: Sex and Race in Seventies America,1900s,Americas,
494,Evita 1,1900s,Americas,
495,Evita 2,1900s,Americas,
496,Evita 3,1900s,Americas,
497,Evita 4,1900s,Americas,
498,Evita 5,1900s,Americas,
508,America in '68 1,1900s,Americas,
509,America in '68 2,1900s,Americas,
510,America in '68 3,1900s,Americas,
511,America in '68 4,1900s,Americas,
512,America in '68 5,1900s,Americas,
513,America in '68 6,1900s,Americas,
100,Decolonising Africa,1900s,Africa,
282,Morocco - Rif War,1900s,Africa,
187,Australian PMs 1,1900s,Oceania,
188,Australian PMs 2,1900s,Oceania,
189,Australian PMs 3,1900s,Oceania,
257,Australia - somerton man,1900s,Oceania,
23,The '90s,1900s,No fixed region,
81,Modern Olympics 2,1900s,No fixed region,
118,End of WWI and remembrance,1900s,No fixed region,
136,Birth of the modern world 1,1900s,No fixed region,
137,Birth of the modern world 2,1900s,No fixed region,
185,Agatha Christie,1900s,No fixed region,
223,"Sun, sea and sex",1900s,No fixed region,
290,2022 - a history,1900s,No fixed region,
363,Sixties' fashion 1,1900s,No fixed region,
364,Sixties' fashion 2,1900s,No fixed region,
427,Titanic: The tradgedy begins,1900s,No fixed region,
428,Titanic: Kings of the world,1900s,No fixed region,
429,Titanic: Countdown to disaster,1900s,No fixed region,
430,Titanic: The Iceberg Strikes,1900s,No fixed region,
431,Titanic: Nightmare at midnight,1900s,No fixed region,
432,Titanic: The survivors,1900s,No fixed region,
85,Sherlock Holmes,1800s,UK,
108,The industrial revolution,1800s,UK,
141,General Gordon,1800s,UK,
238,Regency revolution,1800s,UK,
239,Young Churchill 1,1800s,UK,
240,Young Churchill 2,1800s,UK,
241,Young Churchill 3,1800s,UK,
400,Victorian Britain Maddest Mystery,1800s,UK,
440,"Lord Byron: Mad, bad and dangerous to know",1800s,UK,
441,"Lord Byron: Scandal, sex and celebrity",1800s,UK,
442,Lord Byron: Dangerous liaisons,1800s,UK,
443,Lord Byron: Death of a vampire,1800s,UK,
592,Mad Victorian Sport,1800s,UK,
593,The Fight of the Century,1800s,UK,
607,The Scandalous Lady Hamilton,1800s,UK,
31,The second reich,1800s,Europe,
80,Modern Olympics 1,1800s,Europe,
221,Byron's grand tour,1800s,Europe,
243,Trafalgar 1,1800s,Europe,
244,Trafalgar 2,1800s,Europe,
245,Trafalgar 3,1800s,Europe,
278,France - le prince,1800s,Europe,
337,Ireland 2,1800s,Europe,
383,Young Napoleon 1,1800s,Europe,
382,Young Napoleon 2,1800s,Europe,
514,Nelson 1,1800s,Europe,
515,Nelson 2,1800s,Europe,
516,Nelson 3,1800s,Europe,
517,Nelson 4,1800s,Europe,
608,Nelson 5,1800s,Europe,
609,Nelson 6,1800s,Europe,
610,Nelson 7,1800s,Europe,
611,Nelson 8,1800s,Europe,
612,Nelson 9,1800s,Europe,
613,Nelson 10,1800s,Europe,
87,Afghanistan - Part 1,1800s,Middle East,
